foe_ssm_time,foe_ssm_id,foe_ssm_x,foe_ssm_y
270,1729.0-2833.0,111.16628175969132,151.4735944703337
270,9790.0-4406.0,100.48643846708119,210.15445500129954
270,9837.0-3205.0,104.09773400176313,182.69593693753637
270,3300.0-3033.0,121.36544508871343,281.9578823579259
270,8222.0-3140.0,124.53024171401145,287.34313976104323
270,5093.0-3305.0,150.02278170512326,329.22098898308514
270,6303.0-1855.0,146.94718077184396,336.1311287030853
270,4467.0-2076.0,151.44773126318736,340.8999260006023
270,1179.0-1429.0,126.92726150447328,311.0909949049567
270,9867.0-2159.0,129.37011997700807,322.70065857207015
270,5742.0-2636.0,131.91058007187985,328.2045798043821
270,1977.0-829.0,132.22199897511513,334.2177553319736
272,1729.0-2833.0,110.72291981688214,148.56988246961578
272,9790.0-4406.0,99.63872445488008,207.34207271061382
272,9837.0-3205.0,103.5469490323917,179.81067280526713
272,3300.0-3033.0,120.74279727891641,279.08726867782195
272,8222.0-3140.0,123.92713892570744,284.46835625229255
272,5093.0-3305.0,149.2597853990994,326.38445062930975
272,6303.0-1855.0,146.12200814402277,333.3120502490973
272,4467.0-2076.0,150.65679607853508,338.0710508303051
272,1179.0-1429.0,126.27759714620706,308.22637461300815
272,9867.0-2159.0,128.71057732205978,319.8382964912445
272,5742.0-2636.0,131.2645182109985,325.3391448867196
272,1977.0-829.0,131.55743087866293,331.3565558561204
274,1729.0-2833.0,110.27955787407296,145.66617046889786
274,9790.0-4406.0,98.79101044267897,204.5296904199281
274,9837.0-3205.0,102.99616406302027,176.9254086729979
274,3300.0-3033.0,120.1201494691194,276.216654997718
274,8222.0-3140.0,123.32403613740343,281.59357274354187
274,5093.0-3305.0,148.49678909307553,323.5479122755344
274,6303.0-1855.0,145.29683551620158,330.49297179510927
274,4467.0-2076.0,149.8658608938828,335.24217566000794
274,1179.0-1429.0,125.62793278794084,305.3617543210596
274,9867.0-2159.0,128.05103466711148,316.9759344104188
274,5742.0-2636.0,130.61845635011713,322.47370996905715
274,1977.0-829.0,130.89286278221073,328.4953563802672
276,9790.0-4406.0,97.94329643047786,201.71730812924238
276,9837.0-3205.0,102.44537909364884,174.04014454072865
276,3300.0-3033.0,119.49750165932238,273.3460413176141
276,8222.0-3140.0,122.72093334909941,278.7187892347912
276,5093.0-3305.0,147.73379278705167,320.711373921759
276,6303.0-1855.0,144.4716628883804,327.67389334112124
276,4467.0-2076.0,149.0749257092305,332.41330048971076
276,1179.0-1429.0,124.97826842967461,302.49713402911107
276,9867.0-2159.0,127.3914920121632,314.1135723295931
276,5742.0-2636.0,129.97239448923577,319.6082750513947
276,1977.0-829.0,130.22829468575853,325.634156904414
278,9790.0-4406.0,97.09558241827675,198.90492583855666
278,9837.0-3205.0,101.8945941242774,171.1548804084594
278,3300.0-3033.0,118.87485384952537,270.47542763751017
278,8222.0-3140.0,122.1178305607954,275.8440057260405
278,5093.0-3305.0,146.9707964810278,317.8748355679836
278,6303.0-1855.0,143.6464902605592,324.8548148871332
278,4467.0-2076.0,148.28399052457823,329.5844253194136
278,1179.0-1429.0,124.32860407140839,299.6325137371625
278,9867.0-2159.0,126.73194935721492,311.25121024876745
278,5742.0-2636.0,129.3263326283544,316.7428401337322
278,1977.0-829.0,129.56372658930633,322.7729574285608
280,9790.0-4406.0,96.24786840607564,196.09254354787095
280,9837.0-3205.0,101.34380915490597,168.26961627619016
280,3300.0-3033.0,118.25220603972835,267.60481395740624
280,8222.0-3140.0,121.51472777249138,272.9692222172898
280,5093.0-3305.0,146.20780017500394,315.0382972142082
280,6303.0-1855.0,142.82131763273802,322.0357364331452
280,4467.0-2076.0,147.49305533992595,326.7555501491164
280,1179.0-1429.0,123.67893971314217,296.767893445214
280,9867.0-2159.0,126.07240670226663,308.3888481679418
280,5742.0-2636.0,128.68027076747305,313.87740521606975
280,1977.0-829.0,128.89915849285413,319.9117579527076
282,9790.0-4406.0,95.40015439387453,193.28016125718523
282,9837.0-3205.0,100.79302418553455,165.38435214392092
282,3300.0-3033.0,117.62955822993133,264.7342002773023
282,8222.0-3140.0,120.91162498418737,270.09443870853914
282,5093.0-3305.0,145.44480386898007,312.20175886043285
282,6303.0-1855.0,141.99614500491683,319.21665797915716
282,4467.0-2076.0,146.70212015527366,323.9266749788192
282,1179.0-1429.0,123.02927535487595,293.90327315326545
282,9867.0-2159.0,125.41286404731835,305.5264860871161
282,5742.0-2636.0,128.0342089065917,311.0119702984073
282,1977.0-829.0,128.23459039640193,317.0505584768544
284,9790.0-4406.0,94.55244038167342,190.4677789664995
284,9837.0-3205.0,100.24223921616311,162.49908801165168
284,3300.0-3033.0,117.00691042013432,261.8635865971984
284,8222.0-3140.0,120.30852219588336,267.21965519978846
284,5093.0-3305.0,144.6818075629562,309.36522050665747
284,6303.0-1855.0,141.17097237709564,316.39757952516914
284,4467.0-2076.0,145.91118497062138,321.09779980852204
284,1179.0-1429.0,122.37961099660973,291.0386528613169
284,9867.0-2159.0,124.75332139237007,302.6641240062904
284,5742.0-2636.0,127.38814704571033,308.1465353807448
284,1977.0-829.0,127.57002229994973,314.1893590010012
286,9790.0-4406.0,93.70472636947231,187.6553966758138
286,9837.0-3205.0,99.6914542467917,159.61382387938244
286,3300.0-3033.0,116.3842626103373,258.99297291709445
286,8222.0-3140.0,119.70541940757934,264.3448716910378
286,5093.0-3305.0,143.91881125693234,306.5286821528821
286,6303.0-1855.0,140.34579974927445,313.5785010711811
286,4467.0-2076.0,145.1202497859691,318.26892463822486
286,1179.0-1429.0,121.7299466383435,288.17403256936836
286,9867.0-2159.0,124.09377873742179,299.80176192546475
286,5742.0-2636.0,126.74208518482897,305.28110046308234
286,1977.0-829.0,126.90545420349753,311.328159525148
288,9790.0-4406.0,92.8570123572712,184.84301438512807
288,9837.0-3205.0,99.14066927742027,156.7285597471132
288,3300.0-3033.0,115.76161480054029,256.1223592369905
288,8222.0-3140.0,119.10231661927533,261.4700881822871
288,5093.0-3305.0,143.15581495090848,303.6921437991067
288,6303.0-1855.0,139.52062712145326,310.7594226171931
288,4467.0-2076.0,144.3293146013168,315.4400494679277
288,1179.0-1429.0,121.08028228007728,285.3094122774198
288,9867.0-2159.0,123.4342360824735,296.93939984463907
288,5742.0-2636.0,126.0960233239476,302.41566554541987
288,1977.0-829.0,126.24088610704533,308.4669600492948
290,9790.0-4406.0,92.00929834507009,182.03063209444235
290,3300.0-3033.0,115.13896699074326,253.2517455568866
290,8222.0-3140.0,118.49921383097131,258.5953046735364
290,5093.0-3305.0,142.3928186448846,300.8556054453313
290,6303.0-1855.0,138.69545449363207,307.94034416320505
290,4467.0-2076.0,143.53837941666453,312.6111742976305
290,1179.0-1429.0,120.43061792181106,282.4447919854713
290,9867.0-2159.0,122.77469342752522,294.0770377638134
290,5742.0-2636.0,125.44996146306624,299.5502306277574
290,1977.0-829.0,125.57631801059313,305.6057605734416
292,9790.0-4406.0,91.16158433286898,179.21824980375663
292,3300.0-3033.0,114.51631918094623,250.38113187678266
292,8222.0-3140.0,117.8961110426673,255.72052116478577
292,5093.0-3305.0,141.62982233886075,298.01906709155594
292,6303.0-1855.0,137.87028186581088,305.121265709217
292,4467.0-2076.0,142.74744423201224,309.7822991273333
292,1179.0-1429.0,119.78095356354484,279.58017169352274
292,9867.0-2159.0,122.11515077257694,291.2146756829877
292,5742.0-2636.0,124.80389960218488,296.68479571009493
292,1977.0-829.0,124.91174991414093,302.7445610975884
294,9790.0-4406.0,90.31387032066787,176.40586751307092
294,3300.0-3033.0,113.89367137114921,247.51051819667873
294,8222.0-3140.0,117.29300825436329,252.8457376560351
294,5093.0-3305.0,140.86682603283688,295.18252873778056
294,6303.0-1855.0,137.0451092379897,302.302187255229
294,4467.0-2076.0,141.95650904735996,306.95342395703614
294,1179.0-1429.0,119.13128920527862,276.7155514015742
294,9867.0-2159.0,121.45560811762866,288.35231360216204
294,5742.0-2636.0,124.15783774130352,293.81936079243246
294,1977.0-829.0,124.24718181768873,299.8833616217352
296,9790.0-4406.0,89.46615630846676,173.5934852223852
296,3300.0-3033.0,113.2710235613522,244.6399045165748
296,8222.0-3140.0,116.68990546605927,249.97095414728446
296,5093.0-3305.0,140.10382972681302,292.3459903840052
296,6303.0-1855.0,136.2199366101685,299.483108801241
296,4467.0-2076.0,141.16557386270767,304.12454878673896
296,1179.0-1429.0,118.4816248470124,273.85093110962566
296,9867.0-2159.0,120.79606546268037,285.48995152133637
296,5742.0-2636.0,123.51177588042216,290.95392587477
296,1977.0-829.0,123.58261372123653,297.022162145882
298,9790.0-4406.0,88.61844229626566,170.78110293169948
298,3300.0-3033.0,112.64837575155516,241.76929083647087
298,8222.0-3140.0,116.08680267775526,247.0961706385338
298,5093.0-3305.0,139.34083342078915,289.5094520302298
298,6303.0-1855.0,135.3947639823473,296.66403034725295
298,4467.0-2076.0,140.3746386780554,301.2956736164418
298,1179.0-1429.0,117.83196048874618,270.9863108176771
298,9867.0-2159.0,120.13652280773209,282.6275894405107
298,5742.0-2636.0,122.8657140195408,288.0884909571075
298,1977.0-829.0,122.91804562478433,294.1609626700288
300,9790.0-4406.0,87.77072828406455,167.96872064101376
300,3300.0-3033.0,112.02572794175813,238.89867715636694
300,8222.0-3140.0,115.48369988945124,244.22138712978315
300,5093.0-3305.0,138.5778371147653,286.6729136764544
300,6303.0-1855.0,134.56959135452612,293.8449518932649
300,4467.0-2076.0,139.5837034934031,298.4667984461446
300,1179.0-1429.0,117.18229613047995,268.1216905257286
300,9867.0-2159.0,119.47698015278381,279.765227359685
300,5742.0-2636.0,122.21965215865944,285.22305603944505
300,1977.0-829.0,122.25347752833213,291.2997631941756
302,9790.0-4406.0,86.92301427186344,165.15633835032804
302,3300.0-3033.0,111.4030801319611,236.02806347626301
302,8222.0-3140.0,114.88059710114723,241.3466036210325
302,5093.0-3305.0,137.81484080874142,283.83637532267903
302,6303.0-1855.0,133.74441872670494,291.0258734392769
302,4467.0-2076.0,138.79276830875082,295.6379232758474
302,1179.0-1429.0,116.53263177221373,265.25707023378004
302,9867.0-2159.0,118.81743749783553,276.90286527885934
302,5742.0-2636.0,121.57359029777808,282.3576211217826
302,1977.0-829.0,121.58890943187993,288.4385637183224
304,9790.0-4406.0,86.07530025966233,162.34395605964232
304,3300.0-3033.0,110.78043232216409,233.15744979615909
304,8222.0-3140.0,114.27749431284322,238.47182011228185
304,5093.0-3305.0,137.05184450271756,280.99983696890365
304,6303.0-1855.0,132.91924609888375,288.20679498528887
304,4467.0-2076.0,138.00183312409854,292.80904810555023
304,1179.0-1429.0,115.88296741394751,262.3924499418315
304,9867.0-2159.0,118.15789484288725,274.04050319803366
304,5742.0-2636.0,120.92752843689672,279.4921862041201
304,1977.0-829.0,120.92434133542773,285.57736424246923
306,9790.0-4406.0,85.22758624746122,159.5315737689566
306,3300.0-3033.0,110.15778451236707,230.28683611605516
306,8222.0-3140.0,113.6743915245392,235.5970366035312
306,5093.0-3305.0,136.2888481966937,278.16329861512827
306,6303.0-1855.0,132.09407347106256,285.38771653130084
306,4467.0-2076.0,137.21089793944626,289.98017293525305
306,1179.0-1429.0,115.23330305568129,259.52782964988296
306,9867.0-2159.0,117.49835218793895,271.178141117208
306,5742.0-2636.0,120.28146657601536,276.62675128645765
306,1977.0-829.0,120.25977323897553,282.71616476661603
308,3300.0-3033.0,109.53513670257004,227.41622243595123
308,8222.0-3140.0,113.07128873623519,232.72225309478054
308,5093.0-3305.0,135.52585189066983,275.3267602613529
