fri_sam_time,fri_sam_id,fri_sam_x,fri_sam_y
90,9093.0-299.0,100.69157472867421,291.68881397252983
90,1843.0-237.0,93.83769244230339,236.27656943506537
90,6749.0-2973.0,63.08390509552812,187.23418287862998
90,5333.0-217.0,67.95098519278294,167.29766063633147
90,5614.0-1648.0,63.87259965462487,149.36691906200147
90,5030.0-559.0,54.29743129755159,132.7278670731388
90,6072.0-2830.0,54.9621141540366,113.70664494941562
90,68.0-3087.0,55.640068170164575,94.04260582991932
90,9121.0-3953.0,45.67317929681138,78.14828020548646
92,1438.0-3521.0,57.203328002708865,359.5558984886448
92,7046.0-1094.0,66.64053319448415,344.6677006127304
92,9249.0-2211.0,124.95607953307764,312.9911488992751
92,9093.0-299.0,103.1082183503492,300.5442502424198
92,1843.0-237.0,96.59712358921185,245.0312514778204
92,6749.0-2973.0,64.77280557069838,196.25673978392214
92,5333.0-217.0,70.30500828472476,176.1699485716315
92,5614.0-1648.0,66.26324784650559,158.22940850610934
92,5030.0-559.0,56.05591928697625,141.73711997864186
92,6072.0-2830.0,57.37364367496086,122.56347526810055
92,68.0-3087.0,59.360998543998804,102.43388672602474
92,9121.0-3953.0,47.9998907846349,87.02776958138504
92,9921.0-4794.0,44.0376284052571,69.05736726663436
94,7046.0-1094.0,67.58596906293684,353.7981479699473
94,9249.0-2211.0,127.96851569219109,321.6620281114157
94,9093.0-299.0,105.52486197202421,309.3996865123098
94,1843.0-237.0,99.3565547361203,253.78593352057544
94,6749.0-2973.0,66.46170604586865,205.2792966892143
94,5333.0-217.0,72.65903137666659,185.04223650693152
94,5614.0-1648.0,68.6538960383863,167.0918979502172
94,5030.0-559.0,57.81440727640091,150.7463728841449
94,6072.0-2830.0,59.78517319588512,131.42030558678547
94,68.0-3087.0,63.08192891783303,110.82516762213015
94,9121.0-3953.0,50.32660227245842,95.90725895728363
94,9921.0-4794.0,46.792090843013206,77.81361387138782
96,7046.0-1094.0,68.53140493138952,362.9285953271642
96,9249.0-2211.0,129.7273224801276,330.67121878577564
96,9093.0-299.0,107.9415055936992,318.2551227821998
96,1843.0-237.0,102.11598588302876,262.54061556333045
96,6749.0-2973.0,68.15060652103892,214.30185359450647
96,5333.0-217.0,75.01305446860842,193.91452444223154
96,5614.0-1648.0,71.04454423026702,175.95438739432507
96,5030.0-559.0,59.572895265825565,159.75562578964795
96,6072.0-2830.0,62.19670271680939,140.2771359054704
96,68.0-3087.0,66.80285929166726,119.21644851823557
96,9121.0-3953.0,52.65331376028195,104.78674833318222
96,9921.0-4794.0,49.54655328076931,86.56986047614127
96,7920.0-1426.0,45.642918270338136,68.42749370852295
98,7046.0-1094.0,69.47684079984221,372.0590426843811
98,9249.0-2211.0,131.4843636269262,339.6807539753802
98,9093.0-299.0,111.42957225123494,326.74584176923815
98,1843.0-237.0,104.87541702993721,271.29529760608546
98,6749.0-2973.0,69.8395069962092,223.32441049979863
98,5333.0-217.0,77.36707756055024,202.78681237753156
98,5614.0-1648.0,73.43519242214774,184.81687683843293
98,5030.0-559.0,61.33138325525022,168.764878695151
98,6072.0-2830.0,64.60823223773366,149.13396622415533
98,68.0-3087.0,70.5237896655015,127.60772941434098
98,9121.0-3953.0,54.98002524810548,113.6662377090808
98,9921.0-4794.0,52.30101571852541,95.32610708089473
98,7920.0-1426.0,49.739260926838604,76.64204754697337
100,7046.0-1094.0,70.42227666829488,381.189490041598
100,9249.0-2211.0,133.23924031383237,348.6907110084641
100,9093.0-299.0,114.9735075567135,335.21339398194095
100,1843.0-237.0,107.63484817684567,280.04997964884046
100,6749.0-2973.0,71.52840747137947,232.3469674050908
100,5333.0-217.0,79.72110065249207,211.65910031283158
100,5614.0-1648.0,75.82584061402845,193.6793662825408
100,5030.0-559.0,63.08987124467488,177.77413160065404
100,6072.0-2830.0,67.01976175865792,157.99079654284026
100,68.0-3087.0,74.24472003933573,135.9990103104464
100,9121.0-3953.0,57.306736735929,122.54572708497939
100,9921.0-4794.0,55.05547815628152,104.08235368564819
100,7920.0-1426.0,53.83560358333907,84.8566013854238
100,6249.0-2390.0,43.258599800488646,69.18899836448423
102,7046.0-1094.0,71.36771253674758,390.3199373988149
102,9249.0-2211.0,134.99135502480266,357.7012055544847
102,9093.0-299.0,118.58455600531663,343.6525436444429
102,1843.0-237.0,110.39427932375412,288.80466169159547
102,6749.0-2973.0,73.21730794654974,241.36952431038296
102,5333.0-217.0,82.0751237444339,220.5313882481316
102,5614.0-1648.0,78.21648880590918,202.54185572664866
102,5030.0-559.0,64.84835923409953,186.7833845061571
102,6072.0-2830.0,69.43129127958218,166.84762686152519
102,68.0-3087.0,77.96565041316997,144.3902912065518
102,9121.0-3953.0,59.633448223752524,131.42521646087798
102,9921.0-4794.0,57.80994059403762,112.83860029040164
102,7920.0-1426.0,57.93194623983954,93.07115522387423
102,6249.0-2390.0,44.707214340802956,78.25323765070434
104,7046.0-1094.0,72.31314840520025,399.4503847560318
104,9249.0-2211.0,136.73972753246764,366.7124269755079
104,9093.0-299.0,122.27886598370343,352.05557831697985
104,1843.0-237.0,113.15371047066256,297.5593437343505
104,6749.0-2973.0,74.90620842172001,250.39208121567512
104,5333.0-217.0,84.42914683637572,229.40367618343163
104,5614.0-1648.0,80.6071369977899,211.40434517075653
104,5030.0-559.0,66.6068472235242,195.79263741166014
104,6072.0-2830.0,71.84282080050644,175.7044571802101
104,68.0-3087.0,81.6865807870042,152.7815721026572
104,9121.0-3953.0,61.960159711576054,140.30470583677655
104,9921.0-4794.0,60.564403031793724,121.59484689515511
104,7920.0-1426.0,62.02828889634001,101.28570906232466
104,6249.0-2390.0,46.155828881117266,87.31747693692444
104,1957.0-1912.0,45.06453736634557,68.71482607672083
106,7046.0-1094.0,81.47906157046167,399.94531280247224
106,9249.0-2211.0,138.48249877888935,375.7247333566132
106,9093.0-299.0,126.08134301716501,360.41022291350595
106,1843.0-237.0,115.913141617571,306.3140257771055
106,6749.0-2973.0,76.59510889689028,259.4146381209673
106,5333.0-217.0,86.78316992831755,238.27596411873165
106,5614.0-1648.0,82.99778518967062,220.2668346148644
106,5030.0-559.0,68.36533521294886,204.80189031716318
106,6072.0-2830.0,74.2543503214307,184.56128749889504
106,68.0-3087.0,85.40751116083844,161.1728529987626
106,9121.0-3953.0,64.28687119939958,149.18419521267512
106,9921.0-4794.0,63.31886546954983,130.3510934999086
106,7920.0-1426.0,66.12463155284047,109.50026290077508
106,6249.0-2390.0,47.604443421431576,96.38171622314454
106,1957.0-1912.0,48.05567982618013,77.3930738669859
108,9249.0-2211.0,140.2150328670186,384.7390133366081
108,9093.0-299.0,130.03474702462063,368.69451616508144
108,1843.0-237.0,118.67257276447944,315.0687078198605
108,6749.0-2973.0,78.28400937206055,268.4371950262595
108,5333.0-217.0,89.13719302025937,247.14825205403167
108,5614.0-1648.0,85.38843338155135,229.12932405897226
108,5030.0-559.0,70.12382320237352,213.81114322266623
108,6072.0-2830.0,76.66587984235497,193.41811781757997
108,68.0-3087.0,89.12844153467267,169.56413389486804
108,9121.0-3953.0,66.61358268722311,158.06368458857372
108,9921.0-4794.0,66.07332790730594,139.10734010466206
108,7920.0-1426.0,70.22097420934094,117.71481673922551
108,6249.0-2390.0,49.053057961745886,105.44595550936464
108,1957.0-1912.0,51.046822286014695,86.07132165725098
108,539.0-2258.0,44.962026330605326,68.74425609639016
110,1843.0-237.0,120.76218109890155,324.006965756001
110,6749.0-2973.0,79.97290984723082,277.45975193155164
110,5333.0-217.0,91.4912161122012,256.0205399893317
110,5614.0-1648.0,87.77908157343207,237.99181350308012
110,5030.0-559.0,71.88231119179818,222.82039612816928
110,6072.0-2830.0,79.07740936327923,202.2749481362649
110,68.0-3087.0,92.84937190850691,177.95541479097346
110,9121.0-3953.0,68.94029417504665,166.9431739644723
110,9921.0-4794.0,68.82779034506204,147.86358670941553
110,7920.0-1426.0,74.3173168658414,125.92937057767594
110,6249.0-2390.0,50.5016725020602,114.51019479558474
110,1957.0-1912.0,54.03796474584926,94.74956944751605
112,1843.0-237.0,122.84873657307615,332.9459368476568
112,6749.0-2973.0,81.6618103224011,286.4823088368438
112,5333.0-217.0,93.84523920414303,264.8928279246318
112,5614.0-1648.0,90.16972976531278,246.854302947188
112,5030.0-559.0,73.64079918122283,231.82964903367233
112,6072.0-2830.0,81.48893888420349,211.13177845494982
112,68.0-3087.0,96.57030228234115,186.3466956870789
112,9121.0-3953.0,71.26700566287018,175.82266334037087
112,9921.0-4794.0,71.58225278281814,156.619833314169
112,7920.0-1426.0,78.41365952234187,134.14392441612637
112,6249.0-2390.0,51.95028704237451,123.57443408180484
112,1957.0-1912.0,57.02910720568382,103.42781723778113
114,1843.0-237.0,124.93160337995192,341.8857681541794
114,6749.0-2973.0,83.35071079757137,295.50486574213596
114,5333.0-217.0,96.19926229608485,273.7651158599318
114,5614.0-1648.0,92.56037795719351,255.71679239129585
114,5030.0-559.0,75.3992871706475,240.83890193917537
114,6072.0-2830.0,83.90046840512775,219.98860877363475
114,68.0-3087.0,100.29123265617538,194.73797658318432
114,9121.0-3953.0,73.5937171506937,184.70215271626944
114,9921.0-4794.0,74.33671522057425,165.37607991892247
114,7920.0-1426.0,82.51000217884234,142.3584782545768
114,6249.0-2390.0,53.39890158268883,132.63867336802494
114,1957.0-1912.0,60.020249665518385,112.1060650280462
116,1843.0-237.0,127.00985865297979,350.82667263551673
116,6749.0-2973.0,85.03961127274164,304.5274226474281
116,5333.0-217.0,98.55328538802668,282.6374037952319
116,5614.0-1648.0,94.95102614907424,264.5792818354037
116,5030.0-559.0,77.15777516007215,249.84815484467842
116,6072.0-2830.0,86.31199792605202,228.84543909231968
116,68.0-3087.0,104.01216303000962,203.12925747928975
116,9121.0-3953.0,75.92042863851724,193.58164209216804
116,9921.0-4794.0,77.09117765833035,174.13232652367594
116,7920.0-1426.0,86.60634483534281,150.57303209302722
116,6249.0-2390.0,54.847516123003146,141.70291265424504
116,1957.0-1912.0,63.01139212535295,120.78431281831128
116,1194.0-3693.0,44.428642174926615,68.81690382343763
118,1843.0-237.0,129.08205785517842,359.7689826497509
118,6749.0-2973.0,86.7285117479119,313.5499795527203
118,5333.0-217.0,100.90730847996852,291.5096917305319
118,5614.0-1648.0,97.34167434095495,273.44177127951156
118,5030.0-559.0,78.91626314949681,258.85740775018144
118,6072.0-2830.0,88.72352744697628,237.7022694110046
118,68.0-3087.0,107.73309340384385,211.52053837539518
118,9121.0-3953.0,78.24714012634077,202.46113146806664
118,9921.0-4794.0,79.84564009608646,182.8885731284294
118,7920.0-1426.0,90.70268749184328,158.78758593147765
118,6249.0-2390.0,56.296130663317456,150.76715194046514
118,1957.0-1912.0,66.0025345851875,129.46256060857635
118,1194.0-3693.0,45.99366050433222,77.86177173584466
120,1843.0-237.0,131.14566477478138,368.7132794027457
120,6749.0-2973.0,88.41741222308215,322.57253645801245
120,5333.0-217.0,103.26133157191036,300.381979665832
120,5614.0-1648.0,99.73232253283567,282.3042607236194
120,5030.0-559.0,80.67475113892147,267.8666606556845
120,6072.0-2830.0,91.13505696790054,246.55909972968954
120,68.0-3087.0,111.45402377767809,219.9118192715006
