foe_sam_time,foe_sam_id,foe_sam_x,foe_sam_y
104,5181.0-1973.0,134.84136943291264,456.1476873646106
104,7827.0-3507.0,186.96156612541748,496.71727644039026
104,310.0-2884.0,145.51706387203768,471.4233978608556
104,6228.0-2468.0,188.04846217924484,516.3750494570975
104,8405.0-3560.0,199.42043034154705,531.2287028119003
104,4439.0-155.0,207.66597839884795,547.684610031148
104,8503.0-4757.0,170.90466614618464,520.707853806807
106,6213.0-113.0,166.71359008530655,216.84726097625338
106,7762.0-3912.0,56.04424718245501,306.1931356952283
106,7616.0-4572.0,91.65850891171482,308.1247032245583
106,7588.0-2816.0,44.22179846542634,284.6028641880762
106,6586.0-2842.0,44.54734612694981,359.12548802191293
106,382.0-2828.0,175.0049735710842,271.90248692702767
106,2018.0-3491.0,135.1147250255129,330.50049680230376
106,6589.0-916.0,44.94477264613431,326.77463242180033
106,9522.0-4450.0,152.16057921905363,344.61560097283615
106,7974.0-3062.0,111.20267873979311,317.17971624388497
106,9936.0-4094.0,97.99982854761868,388.3412486188092
106,5557.0-3147.0,128.76512999656018,331.7117162293723
106,5451.0-2256.0,143.16136458796313,385.88869662699045
106,6862.0-1202.0,106.49450120129228,357.64096626727354
106,8906.0-4866.0,187.016800430856,393.5785982091669
106,7879.0-4282.0,93.99990463096088,383.73702301382286
106,5934.0-1830.0,178.52563562919363,413.559350990985
106,7278.0-3462.0,134.47335116676754,387.20720096041873
106,3231.0-4357.0,212.75255959823792,428.68537936635823
106,4724.0-4284.0,160.05310493081282,401.0575069347563
106,2156.0-3675.0,183.21435139099597,450.0060449007826
106,6647.0-1667.0,157.64651353601818,419.8935047314098
106,3656.0-4008.0,193.68633332039516,466.4855629947011
106,5181.0-1973.0,130.48152168874861,448.0699001941057
106,7827.0-3507.0,183.69583437008978,488.1385869118836
106,310.0-2884.0,141.3969703779461,463.2207307626362
106,6228.0-2468.0,183.6441850215787,508.32140055472246
106,8405.0-3560.0,195.7879046145828,522.7987754831977
106,4439.0-155.0,204.7657897203919,538.975544435252
106,8503.0-4757.0,166.61845636082177,512.5907531175137
108,6213.0-113.0,158.08331882370283,213.72038779759666
108,7762.0-3912.0,51.33176197708358,298.3158645234696
108,7616.0-4572.0,87.81072809846516,299.7908265313588
108,7588.0-2816.0,39.98576484335747,276.459465814119
108,6586.0-2842.0,38.73331945776697,352.02224849235347
108,382.0-2828.0,175.127275258345,262.7240360652777
108,2018.0-3491.0,132.3272816642275,321.7546933839841
108,6589.0-916.0,40.06348522759826,319.00083341089794
108,9522.0-4450.0,149.84075285427264,335.7343103255522
108,7974.0-3062.0,108.66379182360276,308.3585501559427
108,9936.0-4094.0,92.99597659393491,380.6457704952693
108,5557.0-3147.0,126.78110481782878,322.74943069417395
108,5451.0-2256.0,139.90279626318497,377.30728355005385
108,6862.0-1202.0,103.18465610490986,349.0791998979886
108,8906.0-4866.0,185.8187954193263,384.47784538774516
108,7879.0-4282.0,89.61272586994592,375.67404710891253
108,5934.0-1830.0,176.63167221893983,404.57760168893446
108,7278.0-3462.0,132.05000801909551,378.35359571097956
108,3231.0-4357.0,213.01508458753216,419.5098685601817
108,4724.0-4284.0,159.09085808802735,391.92881595861877
108,2156.0-3675.0,181.03843323166373,441.0884051856924
108,6647.0-1667.0,156.30019966984474,410.8135071048674
108,3656.0-4008.0,192.09761376664997,457.44482806308116
108,5181.0-1973.0,126.12167394458457,439.9921130236008
108,7827.0-3507.0,180.4301026147621,479.5598973833769
108,310.0-2884.0,137.27687688385456,455.01806366441684
108,6228.0-2468.0,179.23990786391255,500.26775165234744
108,8405.0-3560.0,192.15537888761858,514.368848154495
108,4439.0-155.0,201.86560104193583,530.2664788393558
108,8503.0-4757.0,162.3322465754589,504.4736524282204
108,6830.0-381.0,173.19116951826865,519.9269922487769
110,7762.0-3912.0,46.61927677171215,290.43859335171084
110,7616.0-4572.0,83.9629472852155,291.4569498381593
110,7588.0-2816.0,43.182015947675865,267.8546475823137
110,6586.0-2842.0,32.91929278858412,344.91900896279395
110,382.0-2828.0,175.24957694560578,253.5455852035277
110,2018.0-3491.0,129.53983830294212,313.0088899656644
110,6589.0-916.0,35.1821978090622,311.2270343999955
110,9522.0-4450.0,147.52092648949164,326.85301967826825
110,7974.0-3062.0,106.12490490741243,299.5373840680004
110,9936.0-4094.0,87.99212464025115,372.9502923717294
110,5557.0-3147.0,124.79707963909736,313.7871451589756
110,5451.0-2256.0,136.64422793840683,368.72587047311725
110,6862.0-1202.0,99.87481100852744,340.51743352870363
110,8906.0-4866.0,184.62079040779665,375.3770925663234
110,7879.0-4282.0,85.22554710893095,367.6110712040022
110,5934.0-1830.0,174.73770880868602,395.5958523868839
110,7278.0-3462.0,129.62666487142351,369.4999904615404
110,3231.0-4357.0,213.2776095768264,410.33435775400517
110,4724.0-4284.0,158.12861124524187,382.80012498248124
110,2156.0-3675.0,178.8625150723315,432.1707654706022
110,6647.0-1667.0,154.95388580367134,401.73350947832506
110,3656.0-4008.0,190.50889421290478,448.4040931314612
110,5181.0-1973.0,121.76182620042053,431.9143258530959
110,7827.0-3507.0,177.1643708594344,470.9812078548702
110,310.0-2884.0,133.15678338976298,446.8153965661975
110,6228.0-2468.0,174.8356307062464,492.2141027499724
110,8405.0-3560.0,188.52285316065434,505.9389208257923
110,4439.0-155.0,198.96541236347977,521.5574132434598
110,8503.0-4757.0,158.04603679009603,496.3565517389271
110,6830.0-381.0,170.91374390470014,511.0347343522172
112,7762.0-3912.0,50.11047707023675,281.94916236961035
112,7616.0-4572.0,80.11516647196584,283.1230731449598
112,6586.0-2842.0,35.96870153606026,336.26106323559736
112,382.0-2828.0,167.44957944226365,248.70627152572976
112,2018.0-3491.0,126.7523949416567,304.26308654734476
112,6589.0-916.0,30.30091039052615,303.4532353890931
112,9522.0-4450.0,145.20110012471068,317.9717290309843
112,7974.0-3062.0,104.2523809124885,290.5511405918475
112,9936.0-4094.0,82.98827268656737,365.2548142481895
112,5557.0-3147.0,122.81305446036595,304.82485962377723
112,5451.0-2256.0,133.38565961362866,360.14445739618066
112,6862.0-1202.0,96.56496591214503,331.9556671594187
112,8906.0-4866.0,183.422785396267,366.2763397449017
112,7879.0-4282.0,80.83836834791599,359.5480952990918
112,5934.0-1830.0,172.84374539843225,386.61410308483335
112,7278.0-3462.0,127.2033217237515,360.6463852121012
112,3231.0-4357.0,213.54013456612063,401.15884694782864
112,4724.0-4284.0,157.16636440245637,373.6714340063437
112,2156.0-3675.0,176.68659691299925,423.253125755512
112,6647.0-1667.0,153.60757193749794,392.6535118517827
112,3656.0-4008.0,188.92017465915958,439.36335819984123
112,5181.0-1973.0,117.40197845625649,423.83653868259097
112,7827.0-3507.0,173.8986391041067,462.4025183263635
112,310.0-2884.0,129.03668989567143,438.6127294679781
112,6228.0-2468.0,170.43135354858023,484.1604538475974
112,8405.0-3560.0,184.89032743369012,497.5089934970896
112,4439.0-155.0,196.0652236850237,512.8483476475637
112,8503.0-4757.0,153.75982700473315,488.23945104963383
112,6830.0-381.0,168.63631829113163,502.1424764556575
112,4101.0-210.0,174.41836017035436,519.7308448929415
114,7616.0-4572.0,76.26738565871617,274.7891964517603
114,2018.0-3491.0,123.96495158037129,295.5172831290251
114,6589.0-916.0,34.650503702610926,295.36992196304476
114,9522.0-4450.0,142.88127375992968,309.09043838370036
114,9936.0-4094.0,77.98442073288359,357.55933612464963
114,5557.0-3147.0,119.75432381580632,296.1702027982123
114,5451.0-2256.0,130.12709128885052,351.56304431924406
114,6862.0-1202.0,93.25512081576261,323.3939007901337
114,8906.0-4866.0,182.2247803847373,357.17558692347995
114,7879.0-4282.0,76.45118958690102,351.4851193941814
