fri_ssm_time,fri_ssm_id,fri_ssm_x,fri_ssm_y
240,6576.0-367.0,52.098598258163896,59.77426092203087
242,7081.0-3984.0,139.36924737955601,311.98393845073605
242,5578.0-4829.0,117.84875018004476,313.3855618163846
242,1472.0-148.0,93.9362447655385,209.94308720246983
242,5939.0-570.0,94.78660575474781,190.96643174367208
242,9508.0-1629.0,78.68104581403274,153.09941239448196
242,1936.0-2289.0,70.12791118508042,112.51583582962243
242,9204.0-4395.0,65.67894997607512,107.89081015581121
242,2526.0-1740.0,64.3295354020672,102.14675013904528
242,1826.0-4509.0,64.55754346259098,95.8145816443059
242,7065.0-3633.0,60.73587491856642,84.72299708486918
242,9001.0-3896.0,57.54579694472458,79.63705835902967
242,5992.0-1456.0,56.20648624427904,73.89042357856765
242,1514.0-1676.0,54.45215831554726,68.28283949122496
242,6576.0-367.0,53.167873634370046,62.51009047909103
244,7081.0-3984.0,140.45830562502067,314.711953357849
244,5578.0-4829.0,118.71996631045477,316.1907526565162
244,1472.0-148.0,94.85764425976691,212.73219748488614
244,5939.0-570.0,95.82443293680059,193.7143451221535
244,9508.0-1629.0,79.61828926325221,155.88323852273422
244,1936.0-2289.0,71.20137494108806,115.25002469654125
244,9204.0-4395.0,66.60988910189793,110.67675084783195
244,2526.0-1740.0,65.27604040484633,104.92744096600877
244,1826.0-4509.0,65.63673478106622,98.54651489634054
244,7065.0-3633.0,61.81189398076195,87.45618134013567
244,9001.0-3896.0,58.459134819946684,82.4288189363589
244,5992.0-1456.0,57.15715002011148,76.66969535023101
244,1514.0-1676.0,55.373719585528804,71.07189632483643
244,6576.0-367.0,54.237149010576196,65.2459200361512
246,7081.0-3984.0,141.54736387048533,317.4399682649619
246,5578.0-4829.0,119.59118244086477,318.99594349664784
246,1472.0-148.0,95.77904375399532,215.52130776730246
246,5939.0-570.0,96.86226011885337,196.46225850063493
246,9508.0-1629.0,80.55553271247167,158.6670646509865
246,1936.0-2289.0,72.27483869709569,117.98421356346006
246,9204.0-4395.0,67.54082822772075,113.4626915398527
246,2526.0-1740.0,66.22254540762546,107.70813179297227
246,1826.0-4509.0,66.71592609954146,101.27844814837518
246,7065.0-3633.0,62.887913042957486,90.18936559540217
246,9001.0-3896.0,59.37247269516879,85.22057951368812
246,5992.0-1456.0,58.10781379594392,79.44896712189437
246,1514.0-1676.0,56.29528085551035,73.8609531584479
246,6576.0-367.0,55.306424386782346,67.98174959321136
248,7081.0-3984.0,142.63642211594998,320.16798317207486
248,5578.0-4829.0,120.46239857127478,321.80113433677946
248,1472.0-148.0,96.70044324822373,218.31041804971878
248,5939.0-570.0,97.90008730090615,199.21017187911636
248,9508.0-1629.0,81.49277616169114,161.45089077923876
248,1936.0-2289.0,73.34830245310332,120.71840243037887
248,9204.0-4395.0,68.47176735354357,116.24863223187346
248,2526.0-1740.0,67.1690504104046,110.48882261993576
248,1826.0-4509.0,67.7951174180167,104.01038140040981
248,7065.0-3633.0,63.96393210515302,92.92254985066866
248,9001.0-3896.0,60.28581057039089,88.01234009101735
248,5992.0-1456.0,59.05847757177636,82.22823889355773
248,1514.0-1676.0,57.216842125491894,76.65000999205937
248,6576.0-367.0,56.375699762988496,70.71757915027152
250,7081.0-3984.0,143.72548036141464,322.8959980791878
250,5578.0-4829.0,121.33361470168478,324.60632517691107
250,1472.0-148.0,97.62184274245215,221.0995283321351
250,5939.0-570.0,98.93791448295893,201.9580852575978
250,9508.0-1629.0,82.4300196109106,164.23471690749102
250,1936.0-2289.0,74.42176620911096,123.45259129729769
250,9204.0-4395.0,69.40270647936639,119.0345729238942
250,2526.0-1740.0,68.11555541318373,113.26951344689925
250,1826.0-4509.0,68.87430873649194,106.74231465244445
250,7065.0-3633.0,65.03995116734856,95.65573410593515
250,9001.0-3896.0,61.199148445613,90.80410066834658
250,5992.0-1456.0,60.0091413476088,85.00751066522109
250,1514.0-1676.0,58.13840339547344,79.43906682567084
250,6576.0-367.0,57.444975139194646,73.45340870733168
252,7081.0-3984.0,144.8145386068793,325.6240129863007
252,5578.0-4829.0,122.20483083209479,327.4115160170427
252,1472.0-148.0,98.54324223668056,223.8886386145514
252,5939.0-570.0,99.97574166501171,204.70599863607922
252,9508.0-1629.0,83.36726306013007,167.01854303574328
252,1936.0-2289.0,75.4952299651186,126.1867801642165
252,9204.0-4395.0,70.3336456051892,121.82051361591495
252,2526.0-1740.0,69.06206041596286,116.05020427386275
252,1826.0-4509.0,69.95350005496718,109.47424790447909
252,7065.0-3633.0,66.1159702295441,98.38891836120165
252,9001.0-3896.0,62.1124863208351,93.5958612456758
252,5992.0-1456.0,60.959805123441235,87.78678243688445
252,1514.0-1676.0,59.059964665454984,82.2281236592823
252,6576.0-367.0,58.514250515400796,76.18923826439183
254,7081.0-3984.0,145.90359685234395,328.35202789341366
254,5578.0-4829.0,123.07604696250479,330.2167068571743
254,1472.0-148.0,99.46464173090897,226.67774889696773
254,5939.0-570.0,101.01356884706449,207.45391201456064
254,9508.0-1629.0,84.30450650934954,169.80236916399554
254,1936.0-2289.0,76.56869372112622,128.92096903113531
254,9204.0-4395.0,71.26458473101202,124.6064543079357
254,2526.0-1740.0,70.008565418742,118.83089510082624
254,1826.0-4509.0,71.03269137344242,112.20618115651372
254,7065.0-3633.0,67.19198929173965,101.12210261646814
254,9001.0-3896.0,63.02582419605721,96.38762182300503
254,5992.0-1456.0,61.910468899273674,90.56605420854781
254,1514.0-1676.0,59.98152593543653,85.01718049289377
254,6576.0-367.0,59.583525891606946,78.92506782145199
256,7081.0-3984.0,146.9926550978086,331.0800428005266
256,5578.0-4829.0,123.9472630929148,333.0218976973059
256,1472.0-148.0,100.38604122513738,229.46685917938404
256,5939.0-570.0,102.05139602911727,210.20182539304207
256,9508.0-1629.0,85.24174995856899,172.5861952922478
256,1936.0-2289.0,77.64215747713385,131.65515789805414
256,9204.0-4395.0,72.19552385683484,127.39239499995645
256,2526.0-1740.0,70.95507042152113,121.61158592778973
256,1826.0-4509.0,72.11188269191764,114.93811440854836
256,7065.0-3633.0,68.26800835393519,103.85528687173463
256,9001.0-3896.0,63.93916207127931,99.17938240033426
256,5992.0-1456.0,62.86113267510611,93.34532598021117
256,1514.0-1676.0,60.903087205418075,87.80623732650524
256,6576.0-367.0,60.652801267813096,81.66089737851215
258,7081.0-3984.0,148.08171334327326,333.80805770763953
258,5578.0-4829.0,124.8184792233248,335.82708853743753
258,1472.0-148.0,101.30744071936579,232.25596946180036
258,5939.0-570.0,103.08922321117005,212.9497387715235
258,9508.0-1629.0,86.17899340778845,175.37002142050005
258,1936.0-2289.0,78.71562123314149,134.38934676497297
258,9204.0-4395.0,73.12646298265766,130.1783356919772
258,2526.0-1740.0,71.90157542430026,124.39227675475323
258,1826.0-4509.0,73.19107401039287,117.670047660583
258,7065.0-3633.0,69.34402741613073,106.58847112700113
258,9001.0-3896.0,64.85249994650141,101.97114297766349
258,5992.0-1456.0,63.81179645093855,96.12459775187453
258,1514.0-1676.0,61.82464847539962,90.59529416011671
258,6576.0-367.0,61.722076644019246,84.3967269355723
260,7081.0-3984.0,149.17077158873792,336.53607261475247
260,5578.0-4829.0,125.6896953537348,338.63227937756915
260,1472.0-148.0,102.2288402135942,235.04507974421668
260,5939.0-570.0,104.12705039322283,215.69765215000493
260,9508.0-1629.0,87.1162368570079,178.1538475487523
260,1936.0-2289.0,79.78908498914913,137.1235356318918
260,9204.0-4395.0,74.05740210848047,132.96427638399794
260,2526.0-1740.0,72.8480804270794,127.17296758171672
260,1826.0-4509.0,74.2702653288681,120.40198091261763
260,7065.0-3633.0,70.42004647832627,109.32165538226762
260,9001.0-3896.0,65.76583782172351,104.76290355499272
260,5992.0-1456.0,64.762460226771,98.90386952353789
260,1514.0-1676.0,62.746209745381165,93.38435099372818
260,6576.0-367.0,62.791352020225396,87.13255649263246
262,7081.0-3984.0,150.25982983420258,339.2640875218654
262,5578.0-4829.0,126.56091148414481,341.43747021770076
262,1472.0-148.0,103.1502397078226,237.834190026633
262,5939.0-570.0,105.16487757527561,218.44556552848636
262,9508.0-1629.0,88.05348030622736,180.93767367700457
262,1936.0-2289.0,80.86254874515676,139.85772449881063
262,9204.0-4395.0,74.98834123430329,135.75021707601869
262,2526.0-1740.0,73.79458542985853,129.9536584086802
262,1826.0-4509.0,75.34945664734335,123.13391416465227
262,7065.0-3633.0,71.49606554052181,112.05483963753412
262,9001.0-3896.0,66.6791756969456,107.55466413232195
262,5992.0-1456.0,65.71312400260344,101.68314129520125
262,1514.0-1676.0,63.66777101536271,96.17340782733964
262,6576.0-367.0,63.860627396431546,89.86838604969262
264,7081.0-3984.0,151.34888807966723,341.99210242897834
264,5578.0-4829.0,127.43212761455482,344.2426610578324
264,1472.0-148.0,104.07163920205102,240.6233003090493
264,5939.0-570.0,106.20270475732839,221.19347890696778
264,9508.0-1629.0,88.99072375544682,183.72149980525683
264,1936.0-2289.0,81.93601250116438,142.59191336572945
264,9204.0-4395.0,75.91928036012611,138.53615776803943
264,2526.0-1740.0,74.74109043263766,132.7343492356437
264,1826.0-4509.0,76.42864796581857,125.8658474166869
264,7065.0-3633.0,72.57208460271735,114.78802389280061
264,9001.0-3896.0,67.5925135721677,110.34642470965117
264,5992.0-1456.0,66.66378777843587,104.46241306686461
264,1514.0-1676.0,64.58933228534426,98.96246466095111
264,6576.0-367.0,64.9299027726377,92.60421560675277
266,7081.0-3984.0,152.4379463251319,344.7201173360913
266,5578.0-4829.0,128.30334374496482,347.047851897964
266,1472.0-148.0,104.99303869627943,243.41241059146563
266,5939.0-570.0,107.24053193938117,223.9413922854492
266,9508.0-1629.0,89.92796720466627,186.50532593350908
266,1936.0-2289.0,83.00947625717203,145.32610223264828
266,9204.0-4395.0,76.85021948594893,141.32209846006018
266,2526.0-1740.0,75.6875954354168,135.51504006260717
266,1826.0-4509.0,77.5078392842938,128.59778066872153
266,7065.0-3633.0,73.6481036649129,117.5212081480671
266,9001.0-3896.0,68.5058514473898,113.1381852869804
266,5992.0-1456.0,67.61445155426831,107.24168483852797
266,1514.0-1676.0,65.5108935553258,101.75152149456258
266,6576.0-367.0,65.99917814884385,95.34004516381293
268,7081.0-3984.0,153.52700457059655,347.4481322432042
268,5578.0-4829.0,129.17455987537483,349.8530427380956
268,1472.0-148.0,105.91443819050784,246.20152087388195
268,5939.0-570.0,108.27835912143395,226.68930566393064
268,9508.0-1629.0,90.86521065388573,189.28915206176134
268,1936.0-2289.0,84.08294001317967,148.0602910995671
268,9204.0-4395.0,77.78115861177174,144.10803915208092
268,2526.0-1740.0,76.63410043819593,138.29573088957065
268,1826.0-4509.0,78.58703060276903,131.32971392075615
268,7065.0-3633.0,74.72412272710844,120.2543924033336
268,9001.0-3896.0,69.4191893226119,115.92994586430963
268,5992.0-1456.0,68.56511533010075,110.02095661019133
268,1514.0-1676.0,66.43245482530733,104.54057832817405
268,6576.0-367.0,67.06845352505,98.07587472087309
270,7081.0-3984.0,154.6160628160612,350.17614715031715
270,5578.0-4829.0,130.04577600578483,352.6582335782272
270,1472.0-148.0,106.83583768473625,248.99063115629826
270,5939.0-570.0,109.31618630348673,229.43721904241207
270,9508.0-1629.0,91.80245410310518,192.0729781900136
270,1936.0-2289.0,85.1564037691873,150.79447996648594
270,9204.0-4395.0,78.71209773759456,146.89397984410166
270,2526.0-1740.0,77.58060544097506,141.07642171653413
270,1826.0-4509.0,79.66622192124427,134.06164717279077
270,7065.0-3633.0,75.80014178930398,122.98757665860009
270,9001.0-3896.0,70.332527197834,118.72170644163886
270,5992.0-1456.0,69.51577910593319,112.8002283818547
270,1514.0-1676.0,67.35401609528887,107.32963516178552
270,6576.0-367.0,68.13772890125615,100.81170427793325
272,7081.0-3984.0,155.70512106152586,352.9041620574301
